country,popul,density,urban,popgrowt,brate,infmort,abrate,drate,humandev,calories,doctors,rich10,unemploy,energy,workag,workind,workoth,cars,greenhs,phones,literacy,tvs,news,univers,go5th,fempower,singmom,turnout,multcult,democrac,polint,relgous,homicide,racism,antigay,trust,exmar,gaysex,suicide,suicok,aids,happy,famimp,kidobey
"GHANA",18497,208,36,2.21,33.88,78.9,,10.89,.473,1769,40,,10,13.22,,,,,.22,19,645,888.73,180,,72,,,68,72,3,,,,,,,,,,,6.5,,,
"GREECE",10662,211,59,.42,9.74,7.2,2,9.54,.924,3668,3870,,10,326.86,21.909983,26.139963,51.94996,209.62,7.18,5163,967,2053.68,1560,30.15,93,.438,,83.9,9,7,,,2.59,,,,,,3.7,,2,,,
"GUATEMALA",12008,287,39,2.44,33.27,49.2,,6.98,.615,2138,900,42.1,4.9,26.63,,,,,.44,290,556,506.55,230,,41,.479,,33.4,63,4,,,,,,,,,.4,,7.6,,,
"GUINEA",7477,79,29,1.1,41.95,131.5,,18.23,.277,1880,150,,,7.44,,,,,.18,11,359,71.56,,,26,,,59.9,75,2,,,,,,,,,,,13.4,,,
"GUINEA-BISSAU",1206,112,22,2.33,39.17,113.7,,15.85,.295,2326,180,,,9.69,,,,,.22,9,549,,60,,20,,,32.1,60,5,,,,,,,,,,,3.4,,,
"GUYANA",708,9,35,-.78,18.71,51.4,,10.02,.67,,330,,12,61.63,,,,,1.06,45,981,453.3,970,,97,.472,,63.7,57,6,,,,,,,,,1.8,,17.1,,,
"HAITI",6781,637,32,1.39,33.12,102.4,,15.25,.34,,160,,60,4.84,,,,,.11,60,450,53.13,60,,12,.356,,33.1,1,3,,,,,,,,,,,,,,
"HONDURAS",5862,136,44,2.55,32.63,40.2,,5.66,.573,2135,220,50.6,15,36.27,37.189951,23.849985,38.959963,,.37,161,727,806.94,440,8.91,41,,,63.5,15,5,,,,,,,,,,,13.7,,,
"HUNGARY",10208,286,65,-.66,10.9,12.2,656,14.99,.857,3484,3370,20.5,11,327.73,13.21,,,218.28,6.05,1893,992,4230.13,2280,,98,.491,39,68.3,9,7,52,57,3.35,23,75,25,58,73,42.6,65,.5,11,87,45
"ICELAND",271,7,91,.84,16.71,4.2,157,6.1,.942,3087,,26.9,5,653.93,,,,445.69,7,149,,3496.24,5150,22.99,,.723,84,87.8,3,7,47,75,,8,20,44,71,24,15.3,57,1.1,41,91,68
"INDIA",984004,857,27,1.72,26.19,65.5,20,8.87,.451,2056,480,34.9,,38.44,,,,,.81,11978,520,403.8,,,62,.228,2,61.1,91,4,31,84,8.03,44,91,34,91,95,,81,.1,19,77,56
"INDONESIA",212942,302,35,1.51,23.39,61.2,,8.3,.679,2118,120,34,3,53.89,54.87,13.84,31.289988,10.36,.92,3291,838,599.06,200,,92,.365,,92.8,72,1,,,,,,,,,,,,,,
"IRAN",68960,109,59,2.12,32.51,50.8,,6.39,.758,2986,,41.7,30,201.24,,,,,3.7,5090,,645.75,180,7.57,90,.261,,73.1,69,2,,,,,,,,,.2,,.1,,,
"IRAQ",21722,130,75,3.62,42.52,57.5,,6.33,.538,2155,510,,,186.59,,,,34.5,27.86,675,,786.04,270,,66,,,,64,1,,,,,,,,,,,.1,,,
"IRELAND",3619,136,58,-.42,12.56,6.3,,8.9,.93,3699,1670,26.5,11.9,420.54,13.689963,27.379953,58.929926,,9.23,1310,,2994.68,1700,33.12,96,.554,23,67.4,4,7,37,72,,6,33,47,69,51,9.5,63,1.4,44,91,35
"ISRAEL",5644,719,91,2.01,20.16,8.3,192,6.22,.913,,4590,22.6,6.5,346.19,3.3099975,,,209.57,7.29,2343,956,2892.96,2810,,96,.484,,84.7,68,7,,,2.53,,,,,,7.2,,.7,,,
"ITALY",56783,500,67,.13,9.8,6.8,389,9.9,.922,3688,,28.1,12,414.07,7.8599852,32.379889,59.759889,,6.96,24854,981,4393.9,1050,29.58,95,.521,39,87.3,4,7,34,84,7.25,10,33,37,48,40,7.5,67,8.6,15,87,32
"JAMAICA",2635,630,54,.75,21.56,15,,5.5,.735,,570,,15.4,164.26,27.089963,18.389963,54.519889,,1.91,292,850,1352.41,660,,96,,,44.1,50,6,,,23.93,,,,,,.3,,21.4,,,
"JAPAN",125932,826,78,.23,10.01,4,379,7.39,.94,2852,1770,22.7,3.4,509.81,5.6799926,32.929926,61.389889,356.77,8.79,61106,,6800.4911,5760,,100,.472,15,59.8,1,6,62,26,1.52,11,69,42,46,60,16.1,57,.2,18,78,10
"JORDAN",4435,125,71,2.6,35.95,30.7,,3.88,.729,,1580,,16,131.13,,,,45.86,2.42,317,866,987.75,480,22.11,78,.211,,34.7,35,4,,,2.54,,,,,,,,.1,,,
"KAZAKSTAN",16847,16,60,-.6,18.91,62.3,,9.68,.695,,3600,,2.6,556.67,,,,,,1963,996,2500.59,,28.42,,,,64.3,69,2,,,10.55,,,,,,,,,,,
"KENYA",28337,129,29,2.13,32.44,55.2,,10.83,.463,2011,150,45.8,35,14.09,,,,,.18,240,781,111.34,130,,77,,,40.9,83,2,,,,,,,,,,,22.4,,,
"KUWAIT",1913,278,97,5.96,19.56,10.6,,2.21,.848,,1780,,1.8,1304.06,,,,396.29,5.68,382,786,3939.01,4010,,91,.345,,80,30,3,,,,,,,,,.9,,.3,,,
"KYRGYZSTAN",4522,59,39,.4,25.81,76.6,,8.78,.633,,3100,,4.8,82.75,,,,,,357,996,,110,,,,,51.2,60,4,,,13.72,,,,,,,,0,,,
"LAOS",5261,59,21,2.78,41.25,94.3,,13.4,.465,,,,5.6,3.72,,,,,.07,20,566,85.07,30,1.31,53,,,,58,1,,,,,,,,,,,.3,,,
"LATVIA",2385,96,73,-1.16,11.62,20.7,,15.13,.704,,3030,,7.5,213.18,,,,132.59,,705,997,4711.4311,2280,14.92,69,.436,26,50.6,65,5,79,54,9.84,13,78,19,44,82,,60,.2,2,73,15
"LEBANON",3506,888,88,1.62,22.74,32.8,,6.56,.796,,1910,45,20,170.27,,,,358.68,3,330,924,3190.52,1720,,,,,82.6,72,2,,,,,,,,,,,.2,,,
"LESOTHO",2090,178,24,1.83,32.19,80.3,,13.92,.469,2424,50,,50,,,,,,,18,713,104.11,70,,46,.451,,59.6,28,4,,,,,,,,,,,16.4,,,
"LIBERIA",2772,75,,6.92,42.3,105.6,,11.53,,2276,,,,7.58,,,,,.11,5,383,238.72,140,,,,,,83,1,,,,,,,,,,,5.8,,,
"LIBYA",5691,8,85,3.64,43.94,57.7,,7.49,.806,3812,1370,,,340.55,,,,,9.12,318,762,1040.63,130,,,,,,67,1,,,,,,,,,,,0,,,
"LITHUANIA",3600,143,72,-.21,13.68,16.3,,13.15,.75,,3990,,8,333.93,,,,196.47,,941,995,3889.04,1360,19.31,93,,55,50,35,7,73,55,6.77,20,87,31,60,88,,69,.1,4,65,25
"LUXEMBOURG",425,426,89,1.58,12.85,4.6,,8.07,.9,,2130,,3,1215.4,,,,,,231,974,3731.34,3840,,,.649,,60.5,15,7,,,,,,,,,18.6,,2.9,,,
"MACEDONIA",2009,202,60,.47,13.34,29.2,,8.52,.749,,2190,,38,211.29,,,,,,349,,1824.25,210,14.9,90,,,71.2,72,4,,,,,,,,,,,.1,,,
"MADAGASGAR",14463,64,26,2.82,42.26,92,,14.1,.348,2491,240,,,4.36,,,,,.07,33,457,216.77,40,,22,,,54.1,60,6,,,1.37,,,,,,,,,,,
"MALAWI",9840,271,13,1.57,40.79,138.9,,25.08,.334,2208,20,40.1,,4.33,,,,,.07,34,564,,20,,36,.256,,67.9,62,6,,,,,,,,,,,36.6,,,
"MALAYSIA",20933,165,54,2.15,26.94,23.2,,5.43,.834,2518,430,39.8,2.6,251.8,19.969963,31.719963,48.309946,131.99,3.33,3332,835,1615.93,1420,,92,.0458,,63.6,72,4,,,,,,,,,,,1.5,,,
"MALDIVES",290,2505,27,3.47,40.98,44.1,,6.3,.683,,190,,,34.1,,,,,,14,932,238.1,120,,,.341,,81.5,20,2,,,,,,,,,7,,.8,,,
"MALI",10109,21,27,3.01,50.89,101,,19.01,.236,1893,40,,,2.67,,,,,.04,17,310,15.68,40,,26,.351,,21.9,79,6,,,,,,,,,,,5.3,,,
"MALTA",380,3063,89,1,14.71,6.4,,6.64,.899,,2500,,3.7,201.62,2.3099975,,,536.39,,171,913,7391.3,1760,13.7,100,,,98,6,7,,,2.83,,,,,,6.3,,1.1,,,
"MAURITANIA",2511,6,51,3.17,46.55,80,,14.82,.361,2074,110,,20,57.75,,,,,1.28,9,377,242.08,5,,63,.177,,42.5,49,1,,,,,,,,,,,.6,,,
"MAURITIUS",1168,1636,41,1.21,18.81,16.9,,6.68,.833,2766,850,46.7,2.4,64.01,,,,,1.14,148,829,2191.41,680,,100,.451,,77.1,57,7,,,,,,,,,13.3,,,,,
"MEXICO",98553,133,73,1.84,25.8,23.9,,4.52,.855,2890,1070,40.6,10,200.1,24.72999,21.06,54.209963,91.58,3.92,8801,896,1637.7,1130,,84,.474,43,54.4,50,4,38,75,,17,60,34,40,55,2.1,48,4.4,26,85,45
"MOLDOVA",4458,343,52,.33,17.22,46.2,,11.77,.61,,3560,,1.4,134.83,40,,,37.2,,566,989,2688.77,240,22.63,,,,64.1,39,4,,,,,,,,,,,,,,
"MONGOLIA",2579,4,61,1.62,24.57,68,,8.41,.669,,2680,,6,135.74,,,,,4.36,80,,414.94,880,13.69,,,,73.6,36,6,,,,,,,,,,,,,,
"MOROCCO",29114,169,52,2.02,26.83,40.7,,5.58,.557,2606,340,,20,42.07,3.5799951,34.829963,61.589963,36.12,.95,1158,437,780.47,130,9.33,78,.302,,51.8,53,3,,,,,,,,,,,.2,,,
"MOZAMBIQUE",18641,62,34,2.6,44.33,122.9,,18.31,.281,1881,,,50,3.1,,,,,.07,60,401,34.04,50,,23,.43,,66.4,64,5,,,,,,,,,,,12.6,,,
"MYANMAR",47305,186,26,1.81,29.54,78.5,,11.41,.481,2420,280,,,8.71,68.689951,9.6899728,21.62,3.23,.11,158,831,51.17,230,,,,,64.6,47,1,,,4.29,,,,,,,,1.5,,,
"NAMIBIA",1622,5,36,2.94,37.08,45.6,,7.72,.644,2183,230,,21.8,,,,,,,78,,223.98,1020,7.25,82,,,63.8,,6,,,,,,,,,,,165.5,,,
"NEPAL",23698,449,10,2.45,36.68,76.8,,12.22,.351,1933,50,50.7,,3.52,,,,,.04,83,275,46.7,80,4.89,52,,,70,67,5,,,2.56,,,,,,,,.2,,,
"NETHERLANDS",15731,1200,89,.53,11.79,4.8,115,8.7,.941,3617,,23.9,6.5,741.62,3.9499975,,,364.38,9.23,8120,,4940.84,3340,33.52,95,.689,41,75.2,11,7,62,60,14.75,7,10,55,47,12,10,31,2.4,47,81,32
"NEW ZEALAND",3625,35,86,1.08,15.35,6.5,141,7.67,.939,,2100,28.7,5.9,592.76,9.6799926,,,,6.96,1719,,5193.31,2970,48.76,94,.725,,83,30,7,,,,,,,,,13.8,,1.6,,,
"NICARAGUA",4583,99,62,2.6,33.01,44.1,,5.83,.547,2446,820,,16,43.85,,,,,.55,97,657,702.49,300,,54,,,76.2,17,4,,,,,,,,,2.3,,.6,,,
"NIGER",9672,20,18,2.98,53.73,116,,23.98,.207,2440,30,,,5.7,,,,,.15,13,136,51.26,10,,23,.121,,37.2,73,5,,,,,,,,,,,6.9,,,
"NIGERIA",110532,314,40,3.05,42.58,70.2,,12.45,.391,2378,210,,28,15.71,,,,.46,.81,405,571,423.9,180,,56,,7,58.2,88,1,33,94,,34,73,23,54,77,,73,.3,40,94,71
"NORTH KOREA",21234,457,61,1.68,22.27,25,,5.43,.766,2996,,,,454.14,,,,,10.96,1100,,468.14,2130,,,,,,0,1,,,,,,,,,,,,,,
"NORWAY",4420,37,73,.46,11.39,4.9,280,10.6,.943,3391,,23.7,4.5,709,5.0499877,21.97999,72.969963,386.73,13.74,2431,,4268.57,6070,41.07,98,.79,27,74.5,4,7,72,48,3.02,12,20,65,62,45,15.3,57,1.2,29,88,31
"OMAN",2364,29,76,3.49,37.85,26.4,,4.39,.771,,1200,,,268.28,,,,,7.4,170,,6678,300,,85,,,,41,2,,,,,,,,,,,.5,,,
"PAKISTAN",135135,449,34,2.22,35.26,95.1,,10.95,.453,2180,520,,,36.64,50.029916,16.62,33.349985,6.12,.55,2127,378,210.24,210,,37,.179,,34.2,64,5,,,,,,,,,,,,,,
"PANAMA",2736,93,56,1.58,22.27,24.6,,5.15,.868,2338,1190,44.2,14,104.14,26.289988,15.219963,58.49,68.23,1.47,304,908,1714.06,620,27.27,82,.46,,70.1,28,6,,,,,,,,,3.4,,9.1,,,
"PAPUA NEW GUINEA",4600,26,16,2.28,32.65,58.6,,9.83,.507,,180,,,28.45,,,,,.59,44,722,28.59,150,3.26,66,.254,,79.2,43,6,,,,,,,,,,,1.6,,,
"PARAGUAY",5291,34,52,2.62,30.47,22.3,,4.24,.707,2839,670,,5.3,44.24,3.8099975,,,,.4,167,921,843.35,420,,74,.374,,45.4,14,4,,,,,,,,,1.3,,1,,,
"PERU",26111,53,71,1.7,23.75,50.2,,6.04,.729,2195,730,28.4,8.2,52.6,.40999988,25.609995,73.97999,20.6,.88,1109,887,960.58,860,31.44,76,.433,,57.7,49,3,,,5.98,,,,,,.5,,4.1,,,
"PHILIPPINES",77726,675,54,2.13,28.97,35.2,,6.59,.677,2405,110,37,8.6,40.3,44.069956,15.189963,40.74,,.7,1410,946,449.12,650,,67,.458,,68.4,76,5,,,14.62,,,,,,,,.1,,,
