country,popul,density,urban,popgrowt,brate,infmort,abrate,drate,humandev,calories,doctors,rich10,unemploy,energy,workag,workind,workoth,cars,greenhs,phones,literacy,tvs,news,univers,go5th,fempower,singmom,turnout,multcult,democrac,polint,relgous,homicide,racism,antigay,trust,exmar,gaysex,suicide,suicok,aids,happy,famimp,kidobey
"TANZANIA",30609,89,24,1.6,40.92,104.8,,19.84,.358,1955,40,35.6,,3.97,,,,,.07,90,678,21.4,80,,24,,,47.9,79,2,,,,,,,,,,,,,,
"THAILAND",60037,304,20,1,17.03,32.1,,7.05,.838,2330,240,42.8,2.6,125.69,60.299926,15.09,24.609995,32.85,1.83,3482,938,1180.15,480,,88,.421,,65,68,5,,,9.96,,,,,,5.1,,30.2,,,
"TOGO",4906,234,31,3.54,45.71,82.1,,10.32,.38,2126,60,30.5,,7.05,,,,,.18,22,517,70.51,20,2.19,50,,,62.9,71,2,,,,,,,,,,,35.8,,,
"TRINIDAD & TOBAGO",1117,564,72,-1.18,15.37,19.1,,7.87,.88,,900,33.6,16.1,836.02,10.65,23.839963,65.509775,,14.73,209,979,3516.29,1350,,69,.608,,67.3,56,7,,,7.66,,,,,,13.2,,31.2,,,
"TUNISIA",9380,156,62,1.78,23.68,33.9,95,5.14,.744,2763,670,37.6,16,77.94,,,,40.57,1.8,522,667,803.99,460,11.66,92,.345,,60.3,17,2,,,,,,,,,,,.6,,,
"TURKEY",64567,217,69,1.64,21.83,40.7,,5.43,.782,2937,1030,41.5,6.3,118.35,47.839963,,,49.79,2.49,13228,823,1821.64,440,19.27,80,.281,7,79.1,38,3,48,75,,34,92,10,87,84,,81,.1,29,87,31
"TURKMENISTAN",4298,23,45,1.82,28.78,80.6,,8.78,.66,,3530,,,347.35,,,,,,320,997,1795.51,,,,,,,35,1,,,,,,,,,,,,,,
"UGANDA",22167,287,13,2.14,45.08,98.4,,20.98,.34,1784,40,,,2.71,,,,1.27,.04,43,618,115.89,20,1.25,37,,,50.9,89,3,,,,,,,,,,,13.8,,,
"UKRAINE",50125,215,70,-.31,11.77,22.2,,15.1,.665,,4290,,1,464.51,,,,90.1,,8311,988,3410.02,1180,,95,,,56.2,55,5,,,6.18,,,,,,,,.3,,,
"UNITED ARAB EMIRATES",2303,71,84,1.79,18.46,15.5,,3.01,.855,,1680,,,1896.7,,,,,36.49,672,792,934.58,1610,,99,.247,,,26,2,,,,,,,,,,,,,,
"UNITED KINGDOM",58970,632,89,.19,12.84,6.3,207,11.15,.932,3249,1640,24.8,6.7,529.9,2.1599963,,,375.36,10,29410,,4376.86,3510,27.82,,.593,36,69.4,31,7,49,56,,9,31,44,54,40,8,41,2.1,38,89,42
"UNITED STATES",270312,76,76,.89,14.6,6.55,428,8.8,.943,3641,2450,28.2,5.4,1148.72,2.8799975,23.049998,74.069815,513.16,19.53,164624,,8173.38,2280,56.08,94,.675,39,49.1,63,7,59,83,9.41,10,38,50,70,53,11.7,61,13.8,40,93,38
"URUGUAY",3285,49,90,.7,16.98,14.7,,8.97,.885,2886,3090,29.3,12,97.48,4.8099975,25.289988,69.899911,144.59,1.43,622,973,2301.19,2370,,94,.422,,96.1,19,6,,,,,,,,,10.9,,4.9,,,
"UZBEKISTAN",23784,138,41,1.87,24.49,79.1,,7.93,.659,,3350,,.3,264.6,,,,,,1738,997,1894.61,70,,,,,85.2,36,1,,,,,,,,,,,,,,
"VENEZUELA",22803,67,86,1.83,23.67,28.5,,5.03,.86,2646,1940,35.7,13,452.68,13.189963,22.74,64.069815,84.54,6.16,2463,911,1655.71,2150,,78,.414,,49.9,11,5,,,12.8,,,,,,4.5,,2.8,,,
"VIETNAM",76236,607,19,1.51,22.3,37.2,,6.8,.56,2135,,,25,17.9,,,,,.29,775,937,432.86,80,,58,,,,17,1,,,,,,,,,,,.5,,,
"WEST BANK",1557,,,4.32,37.71,27.5,,4.5,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WESTERN SAHARA",234,,,2.43,46.14,142.75,,17.53,,,,,,45.16,,,,,,,,283.02,,,,,,,,,,,,,,,,,,,,,,
"WESTERN SAMOA",224.71307,204,21,2.34,30.4,33,,5.63,.694,,380,,,31.52,,,,,,,,,,,,,,86.3,1,6,,,,,,,,,,,1.2,,,
"YEMEN",16387.967,80,34,3.57,44.83,68.1,,9.17,.356,,260,,30,42.12,,,,15.07,.81,187,,270.93,170,,66,,,35.9,2,3,,,,,,,,,,,.4,,,
"ZAMBIA",9460.7367,33,43,2.02,44.37,96.5,,24.18,.378,2146,,46.4,22,19.25,,,,,.29,77,782,279.62,80,,67,.304,,29.8,83,5,,,,,,,,,,,46.9,,,
"ZIMBABWE",11044.157,74,32,1.26,31.65,72.6,,19.02,.507,2109,140,55.5,45,41.16,,,,36.07,1.65,155,851,279.87,180,,76,.428,,0,68,3,,,,,,,,,5.8,,79.3,,,
